timestamp,phase,robot_x,robot_y,robot_yaw,n_obstacles_detected,station_x,station_y
2026-04-22 17:58:51.995,I,0.0,0.0,0.0,0,-1.0,-1.0
2026-04-22 17:58:52.995,I,4.28,1.735,0.131,3,-1.0,-1.0
2026-04-22 17:58:53.996,I,4.2803,1.7351,0.6218,2,-1.0,-1.0
2026-04-22 17:58:54.996,I,4.2804,1.7352,0.8622,3,-1.0,-1.0
2026-04-22 17:58:55.998,I,4.3382,1.8081,0.9068,2,-1.0,-1.0
2026-04-22 17:58:56.999,I,4.4486,1.9511,0.9257,2,-1.0,-1.0
2026-04-22 17:58:58.000,I,4.5559,2.0948,0.9364,0,-1.0,-1.0
2026-04-22 17:58:59.000,I,4.6505,2.2064,0.9385,0,-1.0,-1.0
2026-04-22 17:59:00.001,I,4.7317,2.3185,0.9489,1,-1.0,-1.0
2026-04-22 17:59:01.001,I,4.7927,2.4044,0.957,2,-1.0,-1.0
2026-04-22 17:59:02.002,I,4.8359,2.4657,0.9823,1,-1.0,-1.0
2026-04-22 17:59:03.003,I,4.8366,2.467,1.3687,1,-1.0,-1.0
2026-04-22 17:59:04.003,I,4.8385,2.4856,1.4778,0,-1.0,-1.0
2026-04-22 17:59:05.004,I,4.8549,2.6614,1.4627,0,-1.0,-1.0
2026-04-22 17:59:06.004,I,4.8737,2.8408,1.4556,1,-1.0,-1.0
2026-04-22 17:59:07.006,I,4.914,2.9818,1.4643,6,-1.0,-1.0
2026-04-22 17:59:08.007,I,4.9313,3.1604,1.4943,5,-1.0,-1.0
2026-04-22 17:59:09.007,I,4.9423,3.3293,1.5243,3,-1.0,-1.0
2026-04-22 17:59:10.007,I,4.9488,3.5179,1.5562,5,-1.0,-1.0
2026-04-22 17:59:11.008,I,4.9514,3.699,1.5581,6,-1.0,-1.0
2026-04-22 17:59:12.008,I,4.9741,3.8375,1.5427,5,-1.0,-1.0
2026-04-22 17:59:13.009,I,4.981,4.014,1.5109,5,-1.0,-1.0
2026-04-22 17:59:14.009,I,4.9928,4.1939,1.4865,5,-1.0,-1.0
2026-04-22 17:59:15.010,I,5.0091,4.375,1.4783,6,-1.0,-1.0
2026-04-22 17:59:16.010,I,5.0259,4.5407,1.471,7,-1.0,-1.0
2026-04-22 17:59:17.011,I,5.027,4.5498,1.124,7,-1.0,-1.0
2026-04-22 17:59:18.011,I,5.0267,4.5495,0.7849,7,-1.0,-1.0
2026-04-22 17:59:19.012,I,5.0268,4.5495,0.4468,9,-1.0,-1.0
2026-04-22 17:59:20.012,I,5.0382,4.5523,0.1548,7,-1.0,-1.0
2026-04-22 17:59:21.013,I,5.058,4.5528,-0.1008,7,-1.0,-1.0
2026-04-22 17:59:22.013,I,5.0776,4.5482,-0.3537,6,-1.0,-1.0
2026-04-22 17:59:23.014,I,5.1234,4.53,-0.3993,9,-1.0,-1.0
2026-04-22 17:59:24.014,I,5.1638,4.5184,-0.1023,7,-1.0,-1.0
2026-04-22 17:59:25.015,I,5.2057,4.5163,0.1878,6,-1.0,-1.0
2026-04-22 17:59:26.015,I,5.2546,4.528,0.2736,7,-1.0,-1.0
2026-04-22 17:59:27.016,I,5.3002,4.545,0.4561,5,-1.0,-1.0
2026-04-22 17:59:28.016,I,5.2813,4.6413,0.6706,7,-1.0,-1.0
2026-04-22 17:59:29.017,I,5.3165,4.6772,0.9187,5,-1.0,-1.0
2026-04-22 17:59:30.018,I,5.3421,4.7219,1.1887,5,-1.0,-1.0
2026-04-22 17:59:31.019,I,5.3534,4.7683,1.475,5,-1.0,-1.0
2026-04-22 17:59:32.019,I,5.3502,4.8189,1.7911,5,-1.0,-1.0
2026-04-22 17:59:33.021,I,5.3316,4.8655,2.105,6,-1.0,-1.0
