timestamp,phase,robot_x,robot_y,robot_yaw,n_obstacles_detected,station_x,station_y
2026-04-22 17:06:37.027,I,4.2799,1.735,0.1201,1,-1.0,-1.0
2026-04-22 17:06:38.028,I,4.2801,1.735,0.6113,1,-1.0,-1.0
2026-04-22 17:06:39.028,I,4.28,1.735,0.8737,2,-1.0,-1.0
2026-04-22 17:06:40.029,I,4.3487,1.8203,0.8937,1,-1.0,-1.0
2026-04-22 17:06:41.029,I,4.4594,1.9618,0.9133,3,-1.0,-1.0
2026-04-22 17:06:42.030,I,4.5652,2.1031,0.9365,1,-1.0,-1.0
2026-04-22 17:06:43.030,I,4.6668,2.2151,0.9694,0,-1.0,-1.0
2026-04-22 17:06:44.031,I,4.7443,2.3286,0.9809,0,-1.0,-1.0
2026-04-22 17:06:45.031,I,4.8012,2.4144,0.9803,0,-1.0,-1.0
2026-04-22 17:06:46.032,I,4.8373,2.4688,1.0568,0,-1.0,-1.0
2026-04-22 17:06:47.032,I,4.8375,2.4693,1.4221,1,-1.0,-1.0
2026-04-22 17:06:48.033,I,4.8427,2.5439,1.5026,0,-1.0,-1.0
2026-04-22 17:06:49.033,I,4.8516,2.7231,1.5354,1,-1.0,-1.0
2026-04-22 17:06:50.033,I,4.8573,2.9032,1.5531,2,-1.0,-1.0
2026-04-22 17:06:51.034,I,4.8894,3.025,1.5554,1,-1.0,-1.0
2026-04-22 17:06:52.034,I,4.8971,3.2436,1.5241,2,-1.0,-1.0
2026-04-22 17:06:53.035,I,4.9088,3.4226,1.4971,3,-1.0,-1.0
2026-04-22 17:06:54.035,I,4.9243,3.5979,1.4663,6,-1.0,-1.0
2026-04-22 17:06:55.036,I,4.9433,3.7801,1.4549,7,-1.0,-1.0
2026-04-22 17:06:56.036,I,4.9853,3.9288,1.4588,8,-1.0,-1.0
2026-04-22 17:06:57.036,I,5.0023,4.1055,1.4976,9,-1.0,-1.0
2026-04-22 17:06:58.037,I,5.013,4.2828,1.5264,5,-1.0,-1.0
2026-04-22 17:06:59.038,I,5.0185,4.4327,1.6084,8,-1.0,-1.0
2026-04-22 17:07:00.038,I,5.0185,4.4333,1.9354,5,-1.0,-1.0
2026-04-22 17:07:01.039,I,5.0183,4.4337,2.2925,6,-1.0,-1.0
2026-04-22 17:07:02.039,I,5.0154,4.4355,2.6053,5,-1.0,-1.0
2026-04-22 17:07:03.040,I,4.9986,4.4428,2.8642,5,-1.0,-1.0
2026-04-22 17:07:04.040,I,4.979,4.4457,3.1267,6,-1.0,-1.0
2026-04-22 17:07:05.041,I,4.9354,4.4433,-3.0628,4,-1.0,-1.0
2026-04-22 17:07:06.041,I,4.8892,4.4396,3.0865,6,-1.0,-1.0
2026-04-22 17:07:07.044,I,4.8467,4.455,2.7351,5,-1.0,-1.0
2026-04-22 17:07:08.045,I,4.8021,4.4755,2.6085,8,-1.0,-1.0
2026-04-22 17:07:09.048,I,4.7745,4.5028,2.2802,6,-1.0,-1.0
2026-04-22 17:07:10.048,I,4.742,4.5445,2.18,7,-1.0,-1.0
2026-04-22 17:07:11.049,I,4.7195,4.5829,1.9104,6,-1.0,-1.0
2026-04-22 17:07:12.049,I,4.761,4.6394,1.6593,5,-1.0,-1.0
2026-04-22 17:07:13.049,I,4.7608,4.6892,1.4883,5,-1.0,-1.0
2026-04-22 17:07:14.050,I,4.7694,4.7381,1.3075,5,-1.0,-1.0
2026-04-22 17:07:15.050,I,4.7858,4.7819,1.1196,7,-1.0,-1.0
2026-04-22 17:07:16.051,I,4.8112,4.8227,0.9043,7,-1.0,-1.0
2026-04-22 17:07:17.051,I,4.8473,4.8594,0.6818,6,-1.0,-1.0
2026-04-22 17:07:18.051,I,4.8892,4.8868,0.469,8,-1.0,-1.0
2026-04-22 17:07:19.052,I,5.007,4.9505,0.5936,5,-1.0,-1.0
2026-04-22 17:07:20.052,I,5.1092,4.9288,0.7738,6,-1.0,-1.0
2026-04-22 17:07:21.052,I,5.2196,5.0675,1.0258,3,-1.0,-1.0
2026-04-22 17:07:22.053,I,5.2916,5.2277,1.2669,3,-1.0,-1.0
2026-04-22 17:07:23.053,I,5.3441,5.3926,1.5101,4,-1.0,-1.0
2026-04-22 17:07:24.053,I,5.3343,5.5421,1.7741,3,-1.0,-1.0
2026-04-22 17:07:25.054,I,5.3086,5.6438,2.0356,3,-1.0,-1.0
2026-04-22 17:07:26.054,I,5.2533,5.7275,2.3118,3,-1.0,-1.0
2026-04-22 17:07:27.055,I,5.1892,5.7805,2.6,3,-1.0,-1.0
2026-04-22 17:07:28.055,I,5.144,5.8015,2.6847,2,-1.0,-1.0
2026-04-22 17:07:29.055,I,5.1441,5.8015,2.1732,2,-1.0,-1.0
2026-04-22 17:07:30.056,I,5.1441,5.8015,1.7251,3,-1.0,-1.0
